axiom_pattern;axiom;template;question;question_type;op_category;ontology;file;question_type_short;op_category_short
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isConditionOf some Condition);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe a condition of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isConditionOf some Situation);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe a condition of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isConditionOf some Process);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe a condition of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isConditionOf some Particular);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe a condition of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isPartOf some Condition);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe part of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isPartOf some MaterialObject);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe part of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isPartOf some Particular);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe part of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(hasPart some Particular);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What-1-part-1-rel;What part does universe have?;OP_HAS_NOUNS;biotop;What-1-part-1-rel.csv;w1p1r;has_nouns
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(hasLife some Condition);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What-1-part-1-rel;What life does universe have?;OP_HAS_NOUNS;biotop;What-1-part-1-rel.csv;w1p1r;has_nouns
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(hasLife some Process);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What-1-part-1-rel;What life does universe have?;OP_HAS_NOUNS;biotop;What-1-part-1-rel.csv;w1p1r;has_nouns
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(hasLife some Life);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What-1-part-1-rel;What life does universe have?;OP_HAS_NOUNS;biotop;What-1-part-1-rel.csv;w1p1r;has_nouns
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(hasLife some Particular);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What-1-part-1-rel;What life does universe have?;OP_HAS_NOUNS;biotop;What-1-part-1-rel.csv;w1p1r;has_nouns
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isLifeOf some Universe);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe life of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isLifeOf some CollectiveProcess);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe life of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isLifeOf some Condition);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe life of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isLifeOf some Cell);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe life of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isLifeOf some PointInTime);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe life of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
[X] SubclassOf([prop] some [Y]);Universe SubclassOf(isLifeOf some OrganismPart);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What-1-part-1-rel;What is universe life of?;OP_IS_NOUNS_PREP;biotop;What-1-part-1-rel.csv;w1p1r;is_noun_prep
