axiom_pattern;axiom;template;question;question_type;op_category;ontology;file;question_type_short;op_category_short;row_id
[X] SubclassOf([Y]);Grass SubclassOf(Plant);What is [X]?;What is grass?;Definition;OP_DEFINITION;AWO;Definition.csv;def;definition;8
[X] SubclassOf([Y]);Impala SubclassOf(TerrestrialAnimal);What is [X]?;What is an impala?;Definition;OP_DEFINITION;AWO;Definition.csv;def;definition;37
[X] SubclassOf([Y]);Camelopard SubclassOf(Animal);What is [X]?;What is a camelopard?;Definition;OP_DEFINITION;AWO;Definition.csv;def;definition;40
[X] EquivalentTo([A]);Gras EquivalentTo(Grass);What is [X]?;What is a gras?;Definition;OP_DEFINITION;AWO;Definition.csv;def;definition;56
[X] SubclassOf([Y]);Warthog SubclassOf(Animal);What is [X]?;What is a warthog?;Definition;OP_DEFINITION;AWO;Definition.csv;def;definition;23
[X] EquivalentTo([A]);BumbleBee EquivalentTo(HumbleBee);What is [X]?;What is a bumble bee?;Definition;OP_DEFINITION;AWO;Definition.csv;def;definition;53
[X] SubclassOf([Y]);Gras SubclassOf(Plant);What is [X]?;What is a gras?;Definition;OP_DEFINITION;AWO;Definition.csv;def;definition;9
[X] SubclassOf([Y]);Phloem SubclassOf(PlantParts);What is [X]?;What is phloem?;Definition;OP_DEFINITION;AWO;Definition.csv;def;definition;43
[X] EquivalentTo([A]);Loop EquivalentTo(Walk);What is [X]?;What is being a loop?;Definition;OP_DEFINITION;AWO;Definition.csv;def;definition;68
[X] SubclassOf([Y]);BumbleBee SubclassOf(Insect);What is [X]?;What is a bumble bee?;Definition;OP_DEFINITION;AWO;Definition.csv;def;definition;1
[X] SubclassOf([prop] some [Y]);Tasty-plant SubclassOf(eaten-by some Carnivore);What is [X] is [prop/*OP_IS_PAST_PARTICIPLE_BY]?;What is a tasty plant is eaten by?;op_What-1-part-1-rel;OP_IS_PAST_PARTICIPLE_BY;AWO;What-1-part-1-rel.csv;w1p1r;is_pp_b;142
[X] SubclassOf([prop] only [Y]);Camelopard SubclassOf(Live-on only Habitat);What does [X] [prop/*OP_VERB_PREP-infinitive]?;What does a camelopard live on?;op_What-1-part-1-rel;OP_VERB_PREP;AWO;What-1-part-1-rel.csv;w1p1r;verb_prep;162
[X] SubclassOf([prop] some [Y]);Elephant SubclassOf(Participate-In some Loop);What does [X] [prop/*OP_VERB_PREP-infinitive]?;What does an elephant participate in?;op_What-1-part-1-rel;OP_VERB_PREP;AWO;What-1-part-1-rel.csv;w1p1r;verb_prep;100
[X] SubclassOf([prop] only [Y]);Elephant SubclassOf(Live-on only Land);What does [X] [prop/*OP_VERB_PREP-infinitive]?;What does an elephant live on?;op_What-1-part-1-rel;OP_VERB_PREP;AWO;What-1-part-1-rel.csv;w1p1r;verb_prep;157
[X] SubclassOf([prop] some [Y]);Phloem SubclassOf(proper-part-of some PlantParts);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is phloem proper part of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;AWO;What-1-part-1-rel.csv;w1p1r;is_noun_prep;137
[X] SubclassOf([prop] only [Y]);Impala SubclassOf(Live-on only Land);What does [X] [prop/*OP_VERB_PREP-infinitive]?;What does an impala live on?;op_What-1-part-1-rel;OP_VERB_PREP;AWO;What-1-part-1-rel.csv;w1p1r;verb_prep;159
[X] SubclassOf([prop] some [Y]);Xylem SubclassOf(proper-part-of some Plant);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is xylem proper part of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;AWO;What-1-part-1-rel.csv;w1p1r;is_noun_prep;110
[X] SubclassOf([prop] only [Y]);King-of-beasts SubclassOf(Live-on only Habitat);What does [X] [prop/*OP_VERB_PREP-infinitive]?;What does a king of beasts live on?;op_What-1-part-1-rel;OP_VERB_PREP;AWO;What-1-part-1-rel.csv;w1p1r;verb_prep;168
[X] SubclassOf([prop] only [Y]);Warthog SubclassOf(Live-on only Land);What does [X] [prop/*OP_VERB_PREP-infinitive]?;What does a warthog live on?;op_What-1-part-1-rel;OP_VERB_PREP;AWO;What-1-part-1-rel.csv;w1p1r;verb_prep;153
[X] SubclassOf([prop] some [Y]);Warthog SubclassOf(eats some Gras);What does [X] [prop/*OP_VERB-infinitive]?;What does a warthog eat?;op_What-1-part-1-rel;OP_VERB;AWO;What-1-part-1-rel.csv;w1p1r;verb;71
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);King-of-beasts SubclassOf(eats some Herbivore),King-of-beasts SubclassOf(Carnivore);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which carnivore eats a herbivore?;op_What-2-part-1-rel;OP_VERB;AWO;What-2-part-1-rel.csv;w2p1r;verb;212
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Warthog SubclassOf(Live-on only Habitat),Warthog SubclassOf(Animal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] [Y]?;Which animal lives on a habitat?;op_What-2-part-1-rel;OP_VERB_PREP;AWO;What-2-part-1-rel.csv;w2p1r;verb_prep;328
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Impala SubclassOf(Live-on only Habitat),Impala SubclassOf(Animal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] [Y]?;Which animal lives on a habitat?;op_What-2-part-1-rel;OP_VERB_PREP;AWO;What-2-part-1-rel.csv;w2p1r;verb_prep;340
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Warthog SubclassOf(eats some FruitingBody),Warthog SubclassOf(Animal);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which animal eats a fruiting body?;op_What-2-part-1-rel;OP_VERB;AWO;What-2-part-1-rel.csv;w2p1r;verb;189
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);King-of-beasts SubclassOf(Live-on only Habitat),King-of-beasts SubclassOf(Carnivore);Which [X/noArticle] [prop/*OP_VERB_PREP-third] [Y]?;Which carnivore lives on a habitat?;op_What-2-part-1-rel;OP_VERB_PREP;AWO;What-2-part-1-rel.csv;w2p1r;verb_prep;358
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);BumbleBee SubclassOf(Participate-In some Hole-up),BumbleBee SubclassOf(Animal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] [Y]?;Which animal participates in holing up?;op_What-2-part-1-rel;OP_VERB_PREP;AWO;What-2-part-1-rel.csv;w2p1r;verb_prep;223
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Warthog SubclassOf(eats some Grass),Warthog SubclassOf(Omnivore);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which omnivore eats grass?;op_What-2-part-1-rel;OP_VERB;AWO;What-2-part-1-rel.csv;w2p1r;verb;177
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Warthog SubclassOf(Participate-In some Walk),Warthog SubclassOf(Animal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] [Y]?;Which animal participates in walking?;op_What-2-part-1-rel;OP_VERB_PREP;AWO;What-2-part-1-rel.csv;w2p1r;verb_prep;241
